Gene	Product
3'ETS-leuZ	small regulatory RNA 3'ETSleuZ
C0293	small regulatory RNA C0293
aaeA	aromatic carboxylic acid efflux pump membrane
aaeB	aromatic carboxylic acid efflux pump subunit
aaeR	DNA-binding transcriptional activator AaeR
aaeX	DUF1656 domain-containing protein AaeX
aas	fused 2-acylglycerophospho-ethanolamine
aat	leucyl/phenylalanyl-tRNA--protein transferase
abgA	p-aminobenzoyl-glutamate hydrolase subunit A
abgB	p-aminobenzoyl-glutamate hydrolase subunit B
abgR	putative LysR-type DNA-binding transcriptional
abgT	p-aminobenzoyl glutamate:H(+) symporter
abpA	anti-bacteriophage protein
abpB	putative helicase YfjK
abrB	putative regulator
accA	acetyl-CoA carboxyltransferase subunit alpha
accB	biotin carboxyl carrier protein
accC	biotin carboxylase
accD	acetyl-CoA carboxyltransferase subunit beta
aceA	isocitrate lyase
aceB	malate synthase A
aceE	pyruvate dehydrogenase E1 component
aceF	pyruvate dehydrogenase E2 subunit
aceK	isocitrate dehydrogenase kinase/phosphatase
aceK-int	small RNA AceK-int
ackA	acetate kinase
acnA	aconitate hydratase 1
acnB	AcnB
acpH	acyl carrier protein phosphodiesterase
acpP	acyl carrier protein
acpS	holo-[acyl-carrier-protein] synthase
acpT	holo-[acyl carrier protein] synthase 2
acrA	multidrug efflux pump membrane fusion
acrB	multidrug efflux pump RND permease AcrB
acrD	multidrug efflux pump RND permease AcrD
acrE	multidrug efflux pump membrane fusion
acrF	multidrug efflux pump RND permease AcrF
acrR	DNA-binding transcriptional repressor AcrR
acrZ	multidrug efflux pump accessory protein AcrZ
acs	acetyl-CoA synthetase (AMP-forming)
actP	acetate/glycolate:cation symporter
actS	amidase activator
ada	DNA-binding transcriptional dual regulator/DNA
add	adenosine deaminase
adeD	adenine deaminase
adeP	adenine:H(+) symporter
adeQ	adenine transporter
adhE	fused acetaldehyde-CoA dehydrogenase and
adhP	ethanol dehydrogenase/alcohol dehydrogenase
adiA	arginine decarboxylase, degradative
adiC	arginine:agmatine antiporter
adiY	DNA-binding transcriptional activator AdiY
adk	adenylate kinase
aegA	putative oxidoreductase AegA
aer	aerotaxis receptor
aes	acetylesterase
afuC	ABC transporter ATP-binding protein AfuC
agaB	cryptic galactosamine-specific PTS enzyme IIB
agaC	cryptic galactosamine-specific PTS enzyme IIC
agaD	cryptic galactosamine-specific PTS enzyme IID
agaI	putative deaminase AgaI
agaR	DNA-binding transcriptional repressor AgaR
agaS	putative galactosamine-6-phosphate
agaV	N-acetyl-D-galactosamine specific PTS enzyme IIB
agp	glucose-1-phosphatase
agrA	small RNA AgrA
agrB	small regulatory RNA AgrB
ahpC	alkyl hydroperoxide reductase, AhpC component
ahpF	alkyl hydroperoxide reductase, AhpF component
ahr	NADPH-dependent aldehyde reductase Ahr
aidB	isovaleryl-CoA dehydrogenase and DNA-binding
ais	putative lipopolysaccharide core
alaA	glutamate--pyruvate aminotransferase AlaA
alaC	glutamate--pyruvate aminotransferase AlaC
alaE	L-alanine exporter
alaS	alanine--tRNA ligase/DNA-binding transcriptional
alaT	tRNA-Ala
alaU	tRNA-Ala
alaV	tRNA-Ala
alaW	tRNA-Ala
alaX	tRNA-Ala
aldA	aldehyde dehydrogenase A
aldB	aldehyde dehydrogenase B
alkA	DNA-3-methyladenine glycosylase 2
alkB	DNA oxidative demethylase
allA	ureidoglycolate lyase
allB	allantoinase
allC	allantoate amidohydrolase
allD	ureidoglycolate dehydrogenase
allE	(S)-ureidoglycine aminohydrolase
allR	DNA-binding transcriptional repressor AllR
allS	DNA-binding transcriptional activator AllS
allW	allantoin transporter
allZ	small RNA AllZ
alpA	DNA-binding transcriptional activator AlpA
alr	alanine racemase 1
alsA	D-allose ABC transporter ATP binding subunit
alsB	D-allose ABC transporter periplasmic binding
alsC	D-allose ABC transporter membrane subunit
alsE	D-allulose-6-phosphate 3-epimerase
alsK	D-allose kinase
alsR	DNA-binding transcriptional repressor AlsR
alx	Mn(2(+)) exporter Alx
ameF	small antisense RNA aMEF
amiA	N-acetylmuramoyl-L-alanine amidase A
amiB	N-acetylmuramoyl-L-alanine amidase B
amiC	N-acetylmuramoyl-L-alanine amidase C
amiD	N-acetylmuramoyl-L-alanine amidase D
amn	AMP nucleosidase
ampC	beta-lactamase
ampD	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
ampE	protein AmpE
ampG	muropeptide:H(+) symporter
ampH	peptidoglycan DD-carboxypeptidase/peptidoglycan
amtB	ammonium transporter
amyA	alpha-amylase
anmK	anhydro-N-acetylmuramic acid kinase
ansA	L-asparaginase 1
ansB	L-asparaginase 2
ansP	L-asparagine transporter
apaG	DUF525 domain-containing protein ApaG
apaH	diadenosine tetraphosphatase
aphA	acid phosphatase/phosphotransferase
appA	periplasmic phosphoanhydride
appB	cytochrome bd-II subunit 2
appC	cytochrome bd-II subunit 1
appX	cytochrome bd-II accessory subunit AppX
appY	DNA-binding transcriptional activator AppY
apt	adenine phosphoribosyltransferase
aqpZ	water channel AqpZ
araA	L-arabinose isomerase
araB	ribulokinase
araC	DNA-binding transcriptional dual regulator AraC
araD	L-ribulose-5-phosphate 4-epimerase AraD
araE	arabinose:H(+) symporter
araF	arabinose ABC transporter periplasmic binding
araG	arabinose ABC transporter ATP binding subunit
araH	arabinose ABC transporter membrane subunit
araJ	putative transport protein AraJ
arcA	DNA-binding transcriptional dual regulator ArcA
arcB	sensor histidine kinase ArcB
arcZ	small regulatory RNA ArcZ
arfA	alternative ribosome-rescue factor A
arfB	peptidyl-tRNA hydrolase, ribosome rescue factor
argA	N-acetylglutamate synthase
argB	acetylglutamate kinase
argC	N-acetylglutamylphosphate reductase
argD	N-acetylornithine
argE	acetylornithine deacetylase
argF	ornithine carbamoyltransferase ArgF
argG	argininosuccinate synthetase
argH	argininosuccinate lyase
argI	ornithine carbamoyltransferase ArgI
