Gene	Product	Virulence?
3'ETS-leuZ	small regulatory RNA 3'ETSleuZ	No
C0293	small regulatory RNA C0293	No
aaeA	aromatic carboxylic acid efflux pump membrane	No
aaeB	aromatic carboxylic acid efflux pump subunit	No
aaeR	DNA-binding transcriptional activator AaeR	No
aaeX	DUF1656 domain-containing protein AaeX	No
aas	fused 2-acylglycerophospho-ethanolamine	No
aat	leucyl/phenylalanyl-tRNA--protein transferase	No
abgA	p-aminobenzoyl-glutamate hydrolase subunit A	No
abgB	p-aminobenzoyl-glutamate hydrolase subunit B	No
abgR	putative LysR-type DNA-binding transcriptional	No
abgT	p-aminobenzoyl glutamate:H(+) symporter	No
abpA	anti-bacteriophage protein	No
abpB	putative helicase YfjK	No
abrB	putative regulator	No
accA	acetyl-CoA carboxyltransferase subunit alpha	No
accB	biotin carboxyl carrier protein	No
accC	biotin carboxylase	No
accD	acetyl-CoA carboxyltransferase subunit beta	No
aceA	isocitrate lyase	No
aceB	malate synthase A	No
aceE	pyruvate dehydrogenase E1 component	No
aceF	pyruvate dehydrogenase E2 subunit	No
aceK	isocitrate dehydrogenase kinase/phosphatase	No
aceK-int	small RNA AceK-int	No
ackA	acetate kinase	No
acnA	aconitate hydratase 1	No
acnB	AcnB	No
acpH	acyl carrier protein phosphodiesterase	No
acpP	acyl carrier protein	No
acpS	holo-[acyl-carrier-protein] synthase	No
acpT	holo-[acyl carrier protein] synthase 2	No
acrA	multidrug efflux pump membrane fusion	No
acrB	multidrug efflux pump RND permease AcrB	No
acrD	multidrug efflux pump RND permease AcrD	No
acrE	multidrug efflux pump membrane fusion	No
acrF	multidrug efflux pump RND permease AcrF	No
acrR	DNA-binding transcriptional repressor AcrR	No
acrZ	multidrug efflux pump accessory protein AcrZ	No
acs	acetyl-CoA synthetase (AMP-forming)	No
actP	acetate/glycolate:cation symporter	No
actS	amidase activator	No
ada	DNA-binding transcriptional dual regulator/DNA	No
add	adenosine deaminase	No
adeD	adenine deaminase	No
adeP	adenine:H(+) symporter	No
adeQ	adenine transporter	No
adhE	fused acetaldehyde-CoA dehydrogenase and	No
adhP	ethanol dehydrogenase/alcohol dehydrogenase	No
adiA	arginine decarboxylase, degradative	No
adiC	arginine:agmatine antiporter	No
adiY	DNA-binding transcriptional activator AdiY	No
adk	adenylate kinase	No
aegA	putative oxidoreductase AegA	No
aer	aerotaxis receptor	No
aes	acetylesterase	No
afuC	ABC transporter ATP-binding protein AfuC	No
agaB	cryptic galactosamine-specific PTS enzyme IIB	No
agaC	cryptic galactosamine-specific PTS enzyme IIC	No
agaD	cryptic galactosamine-specific PTS enzyme IID	No
agaI	putative deaminase AgaI	No
agaR	DNA-binding transcriptional repressor AgaR	No
agaS	putative galactosamine-6-phosphate	No
agaV	N-acetyl-D-galactosamine specific PTS enzyme IIB	No
agp	glucose-1-phosphatase	No
agrA	small RNA AgrA	No
agrB	small regulatory RNA AgrB	No
ahpC	alkyl hydroperoxide reductase, AhpC component	No
ahpF	alkyl hydroperoxide reductase, AhpF component	No
ahr	NADPH-dependent aldehyde reductase Ahr	No
aidB	isovaleryl-CoA dehydrogenase and DNA-binding	No
ais	putative lipopolysaccharide core	No
alaA	glutamate--pyruvate aminotransferase AlaA	No
alaC	glutamate--pyruvate aminotransferase AlaC	No
alaE	L-alanine exporter	No
alaS	alanine--tRNA ligase/DNA-binding transcriptional	No
alaT	tRNA-Ala	No
alaU	tRNA-Ala	No
alaV	tRNA-Ala	No
alaW	tRNA-Ala	No
alaX	tRNA-Ala	No
aldA	aldehyde dehydrogenase A	No
aldB	aldehyde dehydrogenase B	No
alkA	DNA-3-methyladenine glycosylase 2	No
alkB	DNA oxidative demethylase	No
allA	ureidoglycolate lyase	No
allB	allantoinase	No
allC	allantoate amidohydrolase	No
allD	ureidoglycolate dehydrogenase	No
allE	(S)-ureidoglycine aminohydrolase	No
allR	DNA-binding transcriptional repressor AllR	No
allS	DNA-binding transcriptional activator AllS	No
allW	allantoin transporter	No
allZ	small RNA AllZ	No
alpA	DNA-binding transcriptional activator AlpA	No
alr	alanine racemase 1	No
alsA	D-allose ABC transporter ATP binding subunit	No
alsB	D-allose ABC transporter periplasmic binding	No
alsC	D-allose ABC transporter membrane subunit	No
alsE	D-allulose-6-phosphate 3-epimerase	No
alsK	D-allose kinase	No
alsR	DNA-binding transcriptional repressor AlsR	No
alx	Mn(2(+)) exporter Alx	No
ameF	small antisense RNA aMEF	No
amiA	N-acetylmuramoyl-L-alanine amidase A	No
amiB	N-acetylmuramoyl-L-alanine amidase B	No
amiC	N-acetylmuramoyl-L-alanine amidase C	No
amiD	N-acetylmuramoyl-L-alanine amidase D	No
amn	AMP nucleosidase	No
ampC	beta-lactamase	No
ampD	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase	No
ampE	protein AmpE	No
ampG	muropeptide:H(+) symporter	No
ampH	peptidoglycan DD-carboxypeptidase/peptidoglycan	No
amtB	ammonium transporter	No
amyA	alpha-amylase	No
anmK	anhydro-N-acetylmuramic acid kinase	No
ansA	L-asparaginase 1	No
ansB	L-asparaginase 2	No
ansP	L-asparagine transporter	No
apaG	DUF525 domain-containing protein ApaG	No
apaH	diadenosine tetraphosphatase	No
aphA	acid phosphatase/phosphotransferase	No
appA	periplasmic phosphoanhydride	No
appB	cytochrome bd-II subunit 2	No
appC	cytochrome bd-II subunit 1	No
appX	cytochrome bd-II accessory subunit AppX	No
appY	DNA-binding transcriptional activator AppY	No
apt	adenine phosphoribosyltransferase	No
aqpZ	water channel AqpZ	No
araA	L-arabinose isomerase	No
araB	ribulokinase	No
araC	DNA-binding transcriptional dual regulator AraC	No
araD	L-ribulose-5-phosphate 4-epimerase AraD	No
araE	arabinose:H(+) symporter	No
araF	arabinose ABC transporter periplasmic binding	No
araG	arabinose ABC transporter ATP binding subunit	No
araH	arabinose ABC transporter membrane subunit	No
araJ	putative transport protein AraJ	No
arcA	DNA-binding transcriptional dual regulator ArcA	No
arcB	sensor histidine kinase ArcB	No
arcZ	small regulatory RNA ArcZ	No
arfA	alternative ribosome-rescue factor A	No
arfB	peptidyl-tRNA hydrolase, ribosome rescue factor	No
argA	N-acetylglutamate synthase	No
argB	acetylglutamate kinase	No
argC	N-acetylglutamylphosphate reductase	No
argD	N-acetylornithine	No
argE	acetylornithine deacetylase	No
argF	ornithine carbamoyltransferase ArgF	No
argG	argininosuccinate synthetase	No
argH	argininosuccinate lyase	No
argI	ornithine carbamoyltransferase ArgI	No
argK	methylmalonyl-CoA mutase-interacting GTPase	No
argL	putative translational regulatory protein ArgL	No
argO	L-arginine exporter	No
argP	DNA-binding transcriptional dual regulator ArgP	No
argQ	tRNA-Arg	No
argR	DNA-binding transcriptional dual regulator ArgR	No
argS	arginine--tRNA ligase	No
argT	lysine/arginine/ornithine ABC transporter	No
argU	tRNA-Arg	No
argV	tRNA-Arg	No
argW	tRNA-Arg	No
argX	tRNA-Arg	No
argY	tRNA-Arg	No
argZ	tRNA-Arg	No
ariR	putative two-component system connector protein	No
arnA	fused UDP-4-amino-4-deoxy-L-arabinose	No
arnB	UDP-4-amino-4-deoxy-L-arabinose	No
arnC	undecaprenyl-phosphate	No
arnD	putative	No
arnE	undecaprenyl-phosphate-alpha-L-Ara4N flippase -	No
arnF	undecaprenyl-phosphate-alpha-L-Ara4N flippase -	No
arnT	lipid IVA	No
aroA	3-phosphoshikimate 1-carboxyvinyltransferase	No
aroB	3-dehydroquinate synthase	No
aroC	chorismate synthase	No
aroD	3-dehydroquinate dehydratase	No
aroE	shikimate dehydrogenase	No
